Student_Name,Study_Method,Test_Score
Brittney Smith,ChatGPT,74
Charles Jones,ChatGPT,79
Brandon Thomas,ChatGPT,71
Joseph Haynes,ChatGPT,65
Brittany Williams,ChatGPT,62
Daniel Watkins,ChatGPT,69
Lauren Andrade,ChatGPT,66
Angel Page,ChatGPT,66
Michael Montgomery,ChatGPT,64
Cristian Valdez,ChatGPT,73
Katrina Myers,ChatGPT,69
Hector Perez,ChatGPT,67
Kyle Watson,ChatGPT,71
Taylor Miller,ChatGPT,72
Pamela Long,ChatGPT,75
Edward Mclaughlin,ChatGPT,80
Kathryn Moore,ChatGPT,73
Brenda Ford,ChatGPT,68
Gabriel Curtis,ChatGPT,82
Ashley Wilson,ChatGPT,73
David Swanson,ChatGPT,72
Joanna Delacruz DDS,ChatGPT,61
Charles Terry,ChatGPT,70
Danielle Robbins,ChatGPT,74
Misty Benson,ChatGPT,76
Gerald Phillips,ChatGPT,73
Micheal Bishop,ChatGPT,79
Brad Diaz,ChatGPT,67
Sandra Tucker,ChatGPT,64
Lisa Cordova,ChatGPT,68
Joel Best,ChatGPT,70
Travis Bryant,ChatGPT,76
Melissa Rosario,ChatGPT,66
Taylor Guerrero,ChatGPT,69
Cindy Hardin,ChatGPT,77
Micheal Turner,ChatGPT,68
Jessica Snow,ChatGPT,67
Johnny Ramos,ChatGPT,73
Theresa Johnson,ChatGPT,71
Darryl Bailey,ChatGPT,68
Gary Young,ChatGPT,69
Bobby Moreno,ChatGPT,65
Andrew Young,ChatGPT,70
Melinda Garza,ChatGPT,65
Mr. Patrick Baker,ChatGPT,71
Elizabeth Brooks,ChatGPT,69
Holly Leblanc,ChatGPT,69
Thomas Lambert,ChatGPT,66
Eric Bennett,ChatGPT,75
Tracy James,ChatGPT,75
Chad Thomas MD,ChatGPT,74
John Kim,ChatGPT,73
Marie Villanueva,ChatGPT,68
Lisa Santana,ChatGPT,71
Tara Hill,ChatGPT,72
Jeffery Neal,ChatGPT,76
Jill Summers,ChatGPT,69
Kevin Williams,ChatGPT,67
Cynthia Livingston,ChatGPT,68
Dennis Rivera,ChatGPT,68
Amy Hall,ChatGPT,68
Jordan Schroeder,ChatGPT,70
Mark Hickman,ChatGPT,66
Jennifer Camacho,ChatGPT,77
Christine Moore,ChatGPT,62
Benjamin Cunningham,ChatGPT,70
Michael Lopez,ChatGPT,66
Joseph Brady MD,ChatGPT,62
Dalton Wright,ChatGPT,70
Michael Russo,ChatGPT,82
Jodi Gibbs MD,ChatGPT,60
Robert Rogers,ChatGPT,69
Nancy Stokes,ChatGPT,63
William Mills,ChatGPT,68
Chad Ayala,ChatGPT,76
Michael Patterson,ChatGPT,72
Andre Holt,ChatGPT,70
Patrick Mckinney,ChatGPT,73
Robert Mack,ChatGPT,72
Samantha Garner,ChatGPT,72
Courtney Williams,ChatGPT,77
Jennifer Jackson,ChatGPT,68
Gregory Brown,ChatGPT,62
Tamara Giles,ChatGPT,73
Julia Palmer,ChatGPT,65
Crystal Roberts,ChatGPT,68
Dana Burke,ChatGPT,76
Elizabeth Simmons,ChatGPT,69
Gail Martin,ChatGPT,68
Joseph Schaefer,ChatGPT,71
Daniel Lee,ChatGPT,73
Bianca Weiss,ChatGPT,66
Evan Smith,ChatGPT,72
Tyler Anderson,ChatGPT,64
Richard Allen,ChatGPT,68
Michelle Alexander,ChatGPT,66
Bruce Thompson,ChatGPT,63
Eric Smith,ChatGPT,63
Alexander Murphy,ChatGPT,65
Richard Jones,ChatGPT,67
Jeffrey Huffman,ChatGPT,63
Phillip Smith PhD,ChatGPT,63
Brian Mills,ChatGPT,62
Christopher Alexander,ChatGPT,80
Linda Cardenas,ChatGPT,70
Molly Brown,ChatGPT,68
Donna Miller,ChatGPT,81
Douglas Bass,ChatGPT,72
Colin Castro,ChatGPT,72
James Rose,ChatGPT,76
Steven Ellis,ChatGPT,70
Elizabeth Hughes,ChatGPT,64
Mason Smith MD,ChatGPT,71
Bonnie Barton,ChatGPT,70
Nina Gray,ChatGPT,67
James Pope,ChatGPT,75
Jennifer Adams,ChatGPT,76
Michael Williams,ChatGPT,75
Denise Morris,ChatGPT,78
Jeffery Roberson,ChatGPT,69
Shannon Williams,ChatGPT,70
Patricia Romero,ChatGPT,72
Steven Lynn,ChatGPT,72
Brandon Mcdonald,ChatGPT,60
Derek Lewis,ChatGPT,65
Daniel Jones,ChatGPT,73
Tamara Gutierrez,ChatGPT,72
Devon Taylor,ChatGPT,73
Jordan Taylor,ChatGPT,61
Matthew Potter,ChatGPT,75
Andrew Matthews,ChatGPT,67
Kenneth Hebert,ChatGPT,70
Jacqueline Perry,ChatGPT,68
Alexandra Schultz,ChatGPT,73
Anthony Dillon,ChatGPT,73
Julian Mclaughlin,ChatGPT,72
James Howell,ChatGPT,62
Christina Velez,ChatGPT,55
Nicole Johnson,ChatGPT,76
Ronald Walter,ChatGPT,78
Alexandra Lowe,ChatGPT,67
Emily Simmons,ChatGPT,70
Gregory Gutierrez,ChatGPT,70
Elizabeth Brock,ChatGPT,59
Jessica Miller,ChatGPT,73
Mr. Zachary Carey,ChatGPT,71
Jared Romero,ChatGPT,69
Rebecca Watson,ChatGPT,79
Alyssa Blankenship,ChatGPT,74
Christopher Cortez,ChatGPT,66
Mary Carroll,ChatGPT,75
Eddie Smith,ChatGPT,71
Brett Hartman,ChatGPT,64
Nancy Reyes,ChatGPT,76
Mr. Randy Lawrence,ChatGPT,70
Diana Marshall,ChatGPT,67
Melinda Myers,ChatGPT,61
Amy Hooper,ChatGPT,63
Edwin Barrera,Self-Study,77
Jeffrey Cameron,Self-Study,79
Ashley Sanchez,Self-Study,77
Christopher Miller,Self-Study,73
Brittany Love,Self-Study,85
Robert Bauer,Self-Study,76
Joshua Johnson,Self-Study,71
Kaitlin Duncan,Self-Study,74
Jessica Mathis,Self-Study,73
Alexander Cruz,Self-Study,77
Manuel Irwin,Self-Study,78
Christina Tapia,Self-Study,69
Ronald Kerr,Self-Study,76
Shane Lowe,Self-Study,78
Jennifer Wright,Self-Study,73
Matthew Bell,Self-Study,68
Andrew Williams,Self-Study,70
Melissa Ashley,Self-Study,67
Mr. Michael Obrien,Self-Study,78
Lisa Moreno,Self-Study,71
Blake Haney,Self-Study,74
Michael Hood,Self-Study,71
Deborah Mora,Self-Study,68
Willie Hutchinson,Self-Study,70
Manuel Pierce,Self-Study,74
Briana Murphy,Self-Study,78
Kevin Perez,Self-Study,73
Nathan Atkins,Self-Study,63
Jasmine Bennett,Self-Study,70
Tracey Ramos,Self-Study,68
Jerry Miller,Self-Study,66
Timothy Fox,Self-Study,78
Andrew Kelly,Self-Study,81
William Evans,Self-Study,71
William Villarreal,Self-Study,71
Susan Vargas,Self-Study,74
William Daniel,Self-Study,74
Chelsea Rogers,Self-Study,76
Alyssa Lynch,Self-Study,80
Bryan Fisher,Self-Study,81
Elizabeth Mcgee,Self-Study,76
Jonathan Green,Self-Study,71
Amanda Cain,Self-Study,78
Nicole Davis,Self-Study,81
Brittney Ayala,Self-Study,77
Alexandra Martinez,Self-Study,77
Erika Martinez,Self-Study,78
Steven Andrews,Self-Study,70
Mr. Daniel Welch,Self-Study,70
Zoe Smith,Tutoring,78
Jade Garcia,Tutoring,76
Edward Rivera,Tutoring,82
Jeremy Ruiz,Tutoring,79
Alicia Wilcox,Tutoring,81
Douglas Daniels,Tutoring,79
Jessica Smith,Tutoring,71
Emily Thompson,Tutoring,88
Margaret Myers,Tutoring,82
Juan Blankenship,Tutoring,80
Angela Wolf,Tutoring,84
Jessica Stephens,Tutoring,79
Darrell Garcia,Tutoring,74
Michaela Ewing,Tutoring,83
Vanessa Riley,Tutoring,80
Stephen Rosario,Tutoring,73
Dennis Downs,Tutoring,85
Mr. Jordan Oneal,Tutoring,85
Andrew Perez,Tutoring,82
Jacqueline Riley,Tutoring,82
Peter Zamora,Tutoring,83
Michael Marsh,Tutoring,82
Lori Pearson,Tutoring,84
Nicole Wilson,Tutoring,77
Mark Woods,Tutoring,85
Shane Bailey,Tutoring,78
Marcus Ingram,Tutoring,88
John Thompson,Tutoring,75
Gregory Rogers,Tutoring,83
Lawrence Mcdaniel,Tutoring,83
Rebecca Gaines,Tutoring,86
Sean Jordan,Tutoring,81
Morgan Carlson,Tutoring,83
Sara Richardson,Tutoring,87
Steven Price,Tutoring,74
Joe Moore,Tutoring,83
William Garcia,Tutoring,73
Mark Thompson,Tutoring,80
Brian Salinas,Tutoring,85
David Nguyen,Tutoring,86
Jessica Chavez,Tutoring,80
Virginia Morton DVM,Tutoring,67
Louis Clayton,Tutoring,87
Rita Woodard,Tutoring,76
Nicholas Castaneda,Tutoring,83
Samuel Taylor,Tutoring,78
Gloria Deleon,Tutoring,78
Jocelyn Small,Tutoring,73
Calvin Nguyen,Tutoring,78
Jesse Edwards,Tutoring,86
Michael Olson,Tutoring,72
Lisa Davila,Tutoring,84
Edward Pruitt,Tutoring,73
Joel Hernandez,Tutoring,82
Aaron Wolfe,Tutoring,82
Ryan Lee,Tutoring,75
Heather Robinson,Tutoring,75
Daniel Cantu,Tutoring,76
Bruce Campbell,Tutoring,79
Joshua Williams,Tutoring,89
Matthew Cooper,Tutoring,83
Gregory Holmes,Tutoring,76
Mr. David Farmer DVM,Tutoring,81
Mark Gordon,Tutoring,75
Calvin Holloway,Tutoring,85
Kelly Martin,Tutoring,82
James Lambert DDS,Tutoring,92
Robert Jackson,Tutoring,79
Christine Vaughan,Tutoring,73
Melinda Walton,Tutoring,84
Makayla Parker,Tutoring,75
Steven Ritter,Tutoring,86
Rebecca Gomez,Tutoring,76
Stephanie Liu,Tutoring,85
Brandi Eaton,Tutoring,75
Lisa Calderon,Tutoring,78
Jenny Clark,Tutoring,81
Kylie Bass,Tutoring,81
Kenneth Bates,Tutoring,84
Jessica Cordova,Tutoring,83
Jose Cox,Tutoring,76
Jeffrey Reed,Tutoring,82
Jeffrey Anderson,Tutoring,80
Vincent Reynolds,Tutoring,76
Brian Mitchell,Tutoring,80
Jocelyn Anderson,Tutoring,77
Steven Sims,Tutoring,79
John Rogers,Tutoring,89
John Cantrell,Tutoring,84
Sierra Smith,Tutoring,78
Tracy Sanchez,Tutoring,72
Chelsea Harrison,Tutoring,74
Donald Taylor,Tutoring,81
Jacob Callahan,Tutoring,82
Aaron Reynolds,Tutoring,71
Andre Carroll,Tutoring,84
Mark Cordova,Tutoring,87
Justin Andrade,Tutoring,80
Noah Murray,Tutoring,79
Heather Hamilton,Tutoring,80
Jose Harris,Tutoring,83
Allison Murray,Tutoring,74
Barbara Oconnor,Tutoring,80
Gina Holmes,Tutoring,72
Dustin Williams,Tutoring,80
Mr. Robert Parker Jr.,Tutoring,82
Tracy Phillips,Tutoring,85
Amber Robles,Tutoring,94
Justin Mcdonald,Tutoring,81
Brandon Griffin,Tutoring,70
Kathy Rhodes,Tutoring,77
James Kemp,Tutoring,80
Scott Jensen,Tutoring,84
Nicole Phelps,Tutoring,82
Sharon Ortega,Tutoring,86
Joseph Smith,Tutoring,78
Charles Chang,Tutoring,85
Lisa Mccullough,Tutoring,75
Ronald Walker,Tutoring,83
Janet Stanton,Tutoring,78
Tamara Roberts,Tutoring,81
Brian Campbell,Tutoring,87
Scott Christensen,Tutoring,68
William Harrison,Tutoring,90
Stephanie Hall,Tutoring,85
Luis Maldonado,Tutoring,87
Derek Walton,Tutoring,82
Deborah Allen,Tutoring,80
Don Burke,Tutoring,84
John Barnett,Tutoring,78
Lisa Gallagher,Tutoring,81
Henry Hess,Tutoring,78
Robert Warren,Tutoring,72
Sarah Sullivan,Tutoring,84
Kathy Stewart,Tutoring,71
Joseph Sutton,Tutoring,72
Mary Butler,Tutoring,83
Alexis Hudson,Tutoring,87
Ashley Aguirre,Tutoring,84
Kenneth Juarez,Tutoring,81
Sara Walker,Tutoring,86
William Schwartz,Tutoring,80
Pamela Bailey,Tutoring,76
Taylor Taylor,Tutoring,74
Ryan Cunningham,Tutoring,82
Martin Schmidt,Tutoring,83
Bridget Stevens,Tutoring,86
Oscar Lee,Tutoring,74
Heather Boyd,Tutoring,79
Linda Carter,Tutoring,80
Larry Harris,Tutoring,85
Aaron Howe,Tutoring,79
Deanna Greer,Tutoring,86
Adam Jordan,Tutoring,84
Stacey Smith,Tutoring,88
Melanie Davis,Tutoring,76
Alexander Jones,Tutoring,86
Tyler Thompson,Tutoring,77
Linda Robinson,Tutoring,75
Shannon Graham,Tutoring,70
Makayla Miller,Tutoring,73
Carrie Stanley,Tutoring,79
Donald Herman,Tutoring,80
Elizabeth Gutierrez,Tutoring,84
Rhonda Stewart,Tutoring,74
Christopher Martin,Tutoring,83
Aaron Taylor,Tutoring,80
Robert Phelps,Tutoring,79
Robert Cameron,Tutoring,84
Kyle Mendoza,Tutoring,79
Brett Davis,Tutoring,75
Jacob Marks,Tutoring,79
Lisa Blanchard,Tutoring,74
William Blake,Tutoring,74
Tiffany Davis,Tutoring,74
Lance Reyes,Tutoring,81
Joseph Freeman,Tutoring,73
Richard Long,Tutoring,82
Shane Fisher,Tutoring,88
Rebecca Alexander,Tutoring,84
Debra Mckee,Tutoring,89
Bryan Clark,Tutoring,81
Lisa Alvarez,Tutoring,76
Jeremy Beasley,Tutoring,76
Jordan Sutton,Tutoring,83
Dr. Brian Brown,Tutoring,86
Janet Harrison,Tutoring,82
Joshua Johnson,Tutoring,87
Susan Jackson,Tutoring,86
William Kerr,Tutoring,83
Michelle Moore,Tutoring,86
Paul Hall,Tutoring,76
Michael Anthony,Tutoring,77
Christopher Peck,Tutoring,89
Angela May,Tutoring,78
Christopher Edwards,Tutoring,76
Pamela Rogers,Tutoring,81
Craig Goodwin,Tutoring,72
Dr. Robert Mack,Tutoring,76
Kayla Baker,Tutoring,76
Kevin Kim,Tutoring,76
Doris Martin,Tutoring,83
Robert Mcfarland,Tutoring,80
Johnny Roberts,Tutoring,83
Shelby Mendez,Tutoring,88
Jessica Dean,Tutoring,86
Brett Walsh Jr.,Tutoring,73
Richard Kline,Tutoring,76
Robert Edwards,Tutoring,75
Kyle Brandt,Tutoring,82
Kenneth Franklin,Tutoring,78
Debbie Lopez,Tutoring,71
Louis Estes,Tutoring,82
David Holmes,Tutoring,79
Kaitlyn Smith,Tutoring,73
Renee Gonzalez,Tutoring,73
Rhonda Keller,Tutoring,82
Dustin Henry,Tutoring,80
Kelly Hill,Tutoring,84
John Combs,Tutoring,80
John Phillips,Tutoring,88
Nicholas Fritz,Tutoring,78
Sean Sims,Tutoring,79
Robert Carr,Tutoring,80
Daniel Skinner,Tutoring,71
Amy Barajas,Tutoring,85
Joshua Thompson,Tutoring,88
Sarah Reeves,Tutoring,75
Bryan Smith,Tutoring,81
Tristan Castillo,Tutoring,83
Louis Hanson,Tutoring,76
Randy Willis DVM,Tutoring,83
Mrs. Robin Stewart,Tutoring,70
Alison Griffith,Tutoring,79
Desiree Wheeler,Tutoring,76
Erica Reed,Tutoring,76
Karen Duncan,Tutoring,78
Emily Townsend,Tutoring,80
Diane Roy,Tutoring,72
Katrina Ayala,Tutoring,77
Dennis Ward,Tutoring,79
Mark Medina,Tutoring,84
Lisa Brennan,Tutoring,82
Kristen Grant,Tutoring,74
Patrick Estrada,Tutoring,81
Maurice Jones,Tutoring,79
Michael Fuller,Tutoring,80
Daniel Crosby,Tutoring,88
Ashley Davis,Tutoring,81
Crystal Parker,Tutoring,89
Bryce Richards,Tutoring,84
Jerry Poole,Tutoring,77
Daniel Shelton,Tutoring,79
Wesley Moore,Tutoring,71
Xavier Forbes,Tutoring,86
Lauren Taylor,Tutoring,89
Jennifer Arnold,Tutoring,80
Angelica Mclaughlin,Tutoring,85
Joshua Bartlett,Tutoring,81
Monica Phillips,Tutoring,83
Rhonda Robinson,Tutoring,85
Daniel Wilson,Tutoring,80
Tracy Parrish,Tutoring,76
Sherri Carpenter,Tutoring,78
Daniel Weaver,Tutoring,82
David Wheeler,Tutoring,82
Patrick Richard,Tutoring,79
Kevin Ray,Tutoring,86
Samantha Zavala,Tutoring,86
Tamara Sanchez,Tutoring,79
Renee Ford,Tutoring,80
Devin Cruz,Tutoring,80
Miranda Yates,Tutoring,87
Charles Castro,Group Study,89
David Benson,Group Study,87
Daniel Paul,Group Study,82
Morgan Alexander,Group Study,80
Vanessa Cross,Group Study,79
Sarah Mccall,Group Study,81
Sandra Kennedy,Group Study,80
Samantha Smith,Group Study,79
Brandon Welch,Group Study,80
Kimberly Smith,Group Study,86
Melissa Proctor,Group Study,87
Steven Thomas,Group Study,90
Michael Johnson,Group Study,87
Sharon Conway,Group Study,82
David Adams,Group Study,76
Rodney Lozano,Group Study,87
Brittany Miller,Group Study,66
Angela Smith,Group Study,83
David Burch,Group Study,82
Mary Adams,Group Study,79
Kristin Deleon,Group Study,85
Elijah Dunlap,Group Study,79
Destiny Tate,Group Study,79
Paula Hatfield,Group Study,84
Taylor Oliver,Group Study,84
Joel Woodward,Group Study,80
Gabriela Nunez,Group Study,75
Michael White,Group Study,84
Colin Russell,Group Study,83
Elizabeth Orozco,Group Study,79
Daniel Martinez Jr.,Group Study,87
Karen Martinez,Group Study,90
Javier Flores,Group Study,87
Devon Lee,Group Study,74
Wayne Berry,Group Study,85
Elizabeth Adkins,Group Study,87
Alexis Wilson,Group Study,82
Claudia Chung,Group Study,87
Devin Sanchez,Group Study,75
Sarah Morrison,Group Study,88
Gregory Wright,Group Study,87
Ariel Williams,Group Study,77
Jeffrey Weber,Group Study,86
Danielle Jones,Group Study,88
Samantha Hale,Group Study,90
Melissa Walker,Group Study,89
Ryan Rodgers,Group Study,86
Peter Garner,Group Study,85
Cameron Robles,Group Study,85
Thomas Price DDS,Group Study,91
Ashley Morgan,Group Study,91
Leslie Rojas,Group Study,71
Andrew Carter,Group Study,86
Rachel Dean,Group Study,85
Stephen Graham,Group Study,87
James Wagner,Group Study,90
Jessica Malone,Group Study,82
David Flores,Group Study,88
Amy Jones,Group Study,80
Michael Cain,Group Study,80
Christopher Sparks,Group Study,98
Andrew Morales,Group Study,79
Jennifer Moore,Group Study,87
Alyssa Thomas,Group Study,87
Anthony White DDS,Group Study,87
Catherine Nielsen,Group Study,80
Tonya Miller,Group Study,87
Christina Coleman,Group Study,92
Paul Walker,Group Study,87
Angela Wheeler,Group Study,88
Brittney Brown,Group Study,85
Patricia Boyer,Group Study,83
Tammy Lane,Group Study,83
Daniel Nguyen,Group Study,83
Marissa Knight,Group Study,85
Anna Henderson,Group Study,83
Justin Cowan,Group Study,87
Carlos Glover,Group Study,89
Suzanne Thomas,Group Study,88
Shaun Smith,Group Study,89
Frank Smith,Group Study,83
Jeffrey Goodman,Group Study,71
Vicki Snow,Group Study,89
Michael Johnson,Group Study,80
Brian Burns,Group Study,91
Christina Miller,Group Study,82
Chelsea Krause,Group Study,81
Andrea Velazquez,Group Study,82
Alexander Gill,Group Study,82
Natalie Le,Group Study,89
Mary Jordan DVM,Group Study,83
Alexandra Yu,Group Study,80
Brian Jackson,Group Study,84
James Morris,Group Study,82
Douglas Blake,Group Study,74
Samantha Oconnor,Group Study,77
Lance Gonzalez,Group Study,83
David Alexander,Group Study,87
David Nguyen,Group Study,91
Thomas Barnett,Group Study,90
Earl Donaldson,Group Study,89
Christina Saunders,Group Study,93
Kathleen Hudson,Group Study,88
Alexandra Moore,Group Study,83
Brandi Knight,Group Study,88
Martha Green,Group Study,80
Vickie Monroe,Group Study,83
Javier Fernandez,Group Study,86
Lisa Kirby,Group Study,87
Deborah Love,Group Study,83
Joe Monroe,Group Study,85
Philip White,Group Study,85
Scott Harrell,Group Study,91
William Jones,Group Study,91
Elizabeth Crane,Group Study,77
Charles Vasquez,Group Study,75
Cheryl Martin,Group Study,96
Brian Fitzgerald,Group Study,95
Stephen Mack,Group Study,80
Rodney Smith,Group Study,89
John Walsh,Group Study,84
Shawn Santana,Group Study,88
Rachael Robertson,Group Study,88
John Wilson,Group Study,80
James Combs,Group Study,87
Brooke Cox,Group Study,85
Adam Gallegos,Group Study,86
Steven Key Jr.,Group Study,80
Jennifer Campos,Group Study,87
Laura Hill,Group Study,81
Ryan Williams,Group Study,75
Sean Paul,Group Study,82
Haley Johnson,Group Study,82
Taylor Beard,Group Study,88
Jacqueline Wong,Group Study,83
Mr. Matthew Wells PhD,Group Study,88
Courtney Whitehead,Group Study,89
Kayla George,Group Study,86
Shirley Compton,Group Study,87
Lori Alvarez,Group Study,84
Anthony Walker,Group Study,91
Erica Bailey,Group Study,82
Andrew Cunningham,Group Study,85
Amanda Fernandez,Group Study,81
Mr. Paul Harding,Group Study,81
Glenn Whitehead,Group Study,85
Kelly Leblanc,Group Study,85
Carrie Gomez,Group Study,84
Jamie Graham,Group Study,89
Bethany Sherman,Group Study,84
Dave Bryant,Group Study,92
Julie Thomas,Group Study,77
Matthew Baldwin,Group Study,83
Amanda Nguyen,Group Study,81
Ashley Ross,Group Study,88
Mrs. Deborah Murphy,Group Study,88
Jennifer Lopez,Group Study,88
Doris Lee,Group Study,81
Angela Ramos,Group Study,80
Karen Brown,Group Study,84
Dr. Erica Holland,Group Study,78
Miss Catherine Perez,Group Study,85
Julie Kelly,Group Study,82
John Jimenez,Group Study,87
Gilbert Nelson,Group Study,90
Robert Valenzuela,Group Study,79
Eileen Gibson,Group Study,90
Katrina Fuller,Group Study,86
Christine Herrera,Group Study,92
Wayne Stevens,Group Study,84
Robin Bird,Group Study,82
Kimberly Jackson,Group Study,93
Amanda Hopkins,Group Study,98
Chelsea Bond,Group Study,88
Savannah Powell,Group Study,86
Julie Rowe,Group Study,92
Matthew Adams,Group Study,93
Mary Martin,Group Study,80
Kayla Elliott,Group Study,89
Alyssa Holden,Group Study,78
Larry Stephens,Group Study,83
Christopher Wood,Group Study,81
Donald Kennedy,Group Study,84
Ashley Mendez,Group Study,84
Aaron Perkins,Group Study,79
Julie Thomas,Group Study,82
Sandra Rodriguez,Group Study,88
Anne Black,Group Study,80
Gregory Rios,Group Study,84
Kevin Fox,Group Study,88
Ronald Burns,Group Study,82
Nicholas White,Group Study,84
Caitlyn Morse,Group Study,83
Debra Monroe,Group Study,83
John Zamora,Group Study,77
Shawn Gonzalez,Group Study,80
Wesley Hernandez,Group Study,91
Aaron Short,Group Study,82
John Blackwell,Group Study,89
Megan Smith,Group Study,95
Alexander Brown,Group Study,89
Angela Sanders,Group Study,80
Joseph Porter,Group Study,82
Jacob Rodgers,Group Study,80
David Robinson,Group Study,82
Mary Padilla,Group Study,97
Melanie Brandt,Group Study,84
Shawna Wilkinson,Group Study,81
Kathryn Jones,Group Study,88
Christopher White,Group Study,91
Rhonda Johnston,Group Study,84
Raymond Hodge,Group Study,88
Travis Shannon,Group Study,79
Jordan Martinez,Group Study,87
Mrs. Connie West,Group Study,91
Sherri Powell,Group Study,78
Michelle Lyons,Group Study,90
Carolyn Wilson,Group Study,95
Charles Brewer,Group Study,84
Stephanie Vega,Group Study,87
Robert Edwards,Group Study,89
Lisa Munoz,Group Study,87
Christopher Goodman,Group Study,83
Stephanie Powell,Group Study,87
Laura Frye,Group Study,87
Catherine Obrien,Group Study,82
Kevin Crane,Group Study,93
Robert Barker,Group Study,79
Jason Roman,Group Study,79
Michelle West,Group Study,94
Jack Mcdonald,Group Study,83
Kyle Holder,Group Study,81
Samantha Ellis,Group Study,85
Meghan Brown,Group Study,90
Mark Johnson,Group Study,84
Susan Williams,Group Study,88
Daniel Green,Group Study,87
Joanne Silva,Group Study,85
Angela Navarro,Group Study,79
Jaclyn Holland,Group Study,95
Curtis Daugherty,Group Study,75
George Rose,Group Study,85
Ivan Brown,Group Study,82
Tyrone Ryan,Group Study,82
Richard Mercer,Group Study,84
Andrea Mitchell,Group Study,80
Brian Alvarado,Group Study,79
Gary Herman,Group Study,85
Karen Woodward,Group Study,74
Sara Thompson,Group Study,85
Lisa Fletcher,Group Study,85
Jeffery Wilcox,Group Study,83
Douglas Love,Group Study,81
Jeremy Rodriguez,Group Study,88
Gabriela Yu,Group Study,90
Mr. Daniel Prince,Group Study,83
Mary Jones,Group Study,93
Walter Thompson,Group Study,88
Justin Hall,Group Study,80
Daniel Delacruz,Group Study,87
Mathew Robinson,Group Study,82
Philip Spence,Group Study,85
Cynthia Doyle,Group Study,86
Dawn Reed,Group Study,94
Matthew Summers,Group Study,88
Shannon Murphy,Group Study,87
Nicholas Simmons,Group Study,88
Stuart Robinson,Group Study,86
Herbert Rodriguez,Group Study,84
John Rodriguez,Group Study,79
Dana Gordon,Group Study,79
Alex Reilly,Group Study,80
Thomas Simpson,Group Study,83
Christina Ball,Group Study,80
Alec Flores,Group Study,100
Gabrielle Mahoney,Group Study,84
Christopher Leonard,Group Study,82
Anthony Tate,Group Study,79
Justin Shaw,Group Study,84
Richard Gilbert MD,Group Study,82
Hannah Miller,Group Study,81
Thomas Andrews,Group Study,86
Victoria Wright,Group Study,81
Todd Green,Group Study,94
Lauren Williams,Group Study,90
Ian Roberts,Group Study,86
Kevin Hernandez,Group Study,93
Andrew Smith,Group Study,89
Linda Wang,Group Study,87
Wendy Gray,Group Study,87
Brandy Pacheco,Group Study,83
Joseph Hernandez,Group Study,85
Zachary Conway,Group Study,90
Teresa Tanner,Group Study,90
Deborah Barker,Group Study,87
Kevin Jordan,Group Study,82
Joshua Myers,Group Study,78
Mr. Dakota Howard,Group Study,89
Paul Clark,Group Study,86
Tanya Henderson,Group Study,88
Danielle Davis,Group Study,75
Jessica Thompson,Group Study,87
Jennifer Hunt,Group Study,86
Cameron Warren,Group Study,80
Matthew Evans,Group Study,71
Luis Chaney,Group Study,82
Ryan Smith,Group Study,82
John Lamb II,Group Study,94
Julie Gaines,Group Study,80
Eric Lopez,Group Study,84
Gabriel Johnson,Group Study,85
Earl Hobbs,Group Study,81
Mary Brown,Group Study,95
Karl Robles,Group Study,89
